city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Tokyo,35.6897,139.6922,Japan,JP,Tōkyō,primary,37977000,13515271
Ōsaka,34.7500,135.4601,Japan,JP,Ōsaka,admin,14977000,2725006
Nagoya,35.1167,136.9333,Japan,JP,Aichi,admin,9113000,2320361
Yokohama,35.4333,139.6333,Japan,JP,Kanagawa,admin,3757630,3757630
Fukuoka,33.6000,130.4167,Japan,JP,Fukuoka,admin,2128000,1588924
Sapporo,43.0621,141.3544,Japan,JP,Hokkaidō,admin,1961690,1961690
Kyōto,35.0111,135.7669,Japan,JP,Kyōto,admin,1805000,1459640
Kōbe,34.6913,135.1830,Japan,JP,Hyōgo,admin,1513193,1513193
Kawanakajima,35.5300,139.7050,Japan,JP,Kanagawa,,1437266,1306785
Saitama,35.8617,139.6453,Japan,JP,Saitama,admin,1320571,1320571
Hiroshima,34.4000,132.4500,Japan,JP,Hiroshima,admin,1306589,1306589
Sendai,38.2683,140.8694,Japan,JP,Miyagi,admin,1058070,1058070
Kitaku,33.8704,130.8200,Japan,JP,Fukuoka,,997536,983037
Chiba,35.6000,140.1000,Japan,JP,Chiba,admin,981738,981738
Niigata,37.9161,139.0364,Japan,JP,Niigata,admin,790646,790646
Hamamatsu,34.7167,137.7333,Japan,JP,Shizuoka,,788211,788211
Kumamoto,32.8031,130.7078,Japan,JP,Kumamoto,admin,738567,738567
Sagamihara,35.5667,139.3667,Japan,JP,Kanagawa,,722973,722973
Okayama,34.6500,133.9167,Japan,JP,Okayama,admin,720043,720043
Edogawa,35.6924,139.8757,Japan,JP,Tōkyō,,690457,690457
Shizuoka,34.9756,138.3825,Japan,JP,Shizuoka,admin,685589,685589
Adachi,35.7833,139.8000,Japan,JP,Tōkyō,,682326,682326
Kagoshima,31.5800,130.5281,Japan,JP,Kagoshima,admin,594258,594258
Hachiōji,35.6667,139.3167,Japan,JP,Tōkyō,,575721,575721
Utsunomiya,36.5500,139.8833,Japan,JP,Tochigi,admin,518197,518197
Matsuyama,33.8333,132.7667,Japan,JP,Ehime,admin,506743,506743
Matsudo,35.7878,139.9031,Japan,JP,Chiba,,492367,492367
Higashi-ōsaka,34.6794,135.6008,Japan,JP,Ōsaka,,490819,490819
Nishinomiya-hama,34.7333,135.3333,Japan,JP,Hyōgo,,487010,487010
Ōita,33.2333,131.6067,Japan,JP,Ōita,admin,477186,477186
Kanazawa,36.6000,136.6167,Japan,JP,Ishikawa,admin,462479,462479
Fukuyama,34.4858,133.3625,Japan,JP,Hiroshima,,459576,459576
Machida,35.5486,139.4467,Japan,JP,Tōkyō,,434414,434414
Toyota,35.0833,137.1567,Japan,JP,Aichi,,422106,422106
Takamatsu,34.3500,134.0500,Japan,JP,Kagawa,admin,417814,417814
Toyama,36.7000,137.2200,Japan,JP,Toyama,admin,413028,413028
Nagasaki,32.7833,129.8667,Japan,JP,Nagasaki,admin,404656,404656
Gifu,35.4167,136.7667,Japan,JP,Gifu,admin,400118,400118
Miyazaki,31.9167,131.4167,Japan,JP,Miyazaki,admin,397476,397476
Okazaki,34.9500,137.1667,Japan,JP,Aichi,,385376,385376
Ichinomiya,35.3039,136.8031,Japan,JP,Aichi,,378681,378681
Toyohashi,34.7667,137.3833,Japan,JP,Aichi,,371507,371507
Nagano,36.6486,138.1928,Japan,JP,Nagano,admin,367184,367184
Wakayama,34.2333,135.1667,Japan,JP,Wakayama,admin,353299,353299
Nara,34.6833,135.7833,Japan,JP,Nara,admin,352377,352377
Koshigaya,35.8911,139.7908,Japan,JP,Saitama,,346768,346768
Ōtsu,35.0167,135.8500,Japan,JP,Shiga,admin,342607,342607
Tokorozawa,35.7994,139.4689,Japan,JP,Saitama,,341195,341195
Tamuramachi-moriyama,37.3252,140.4134,Japan,JP,Fukushima,,340560,264602
Kawagoe,35.9251,139.4858,Japan,JP,Saitama,,337931,337931
Iwaki,37.0333,140.8833,Japan,JP,Fukushima,,336111,336111
Maebashi,36.3833,139.0667,Japan,JP,Gunma,admin,331576,331576
Asahikawa,43.7706,142.3650,Japan,JP,Hokkaidō,,331392,331392
Kōchi,33.5589,133.5314,Japan,JP,Kōchi,admin,325560,325560
Naha,26.2122,127.6789,Japan,JP,Okinawa,admin,316048,316048
Yokkaichi,34.9667,136.6167,Japan,JP,Mie,,310263,310263
Kasugai,35.2500,136.9667,Japan,JP,Aichi,,306449,306449
Akita,39.7197,140.1025,Japan,JP,Akita,admin,302984,302984
Ōakashichō,34.6431,134.9975,Japan,JP,Hyōgo,,299699,299699
Toshima,35.7333,139.7167,Japan,JP,Tōkyō,,297954,297954
Morioka,39.6833,141.1500,Japan,JP,Iwate,admin,290553,290553
Fukushima,37.7608,140.4733,Japan,JP,Fukushima,admin,284282,284282
Tsu,34.7186,136.5056,Japan,JP,Mie,admin,273267,273267
Aomori,40.8222,140.7475,Japan,JP,Aomori,admin,271962,271962
Mito,36.3667,140.4667,Japan,JP,Ibaraki,admin,269103,269103
Ichihara,35.4981,140.1156,Japan,JP,Chiba,,268038,268038
Fuchū,35.6689,139.4778,Japan,JP,Tōkyō,,263093,263093
Fukui,36.0641,136.2196,Japan,JP,Fukui,admin,260263,260263
Minato,35.6581,139.7514,Japan,JP,Tōkyō,,258105,258105
Hiratsuka,35.3231,139.3422,Japan,JP,Kanagawa,,257662,257662
Tokushima,34.0667,134.5500,Japan,JP,Tokushima,admin,254510,254510
Shinozaki,33.9500,130.9333,Japan,JP,Fukuoka,,252844,252844
Hakodate,41.7733,140.7261,Japan,JP,Hokkaidō,,251942,251942
Sōka,35.8256,139.8056,Japan,JP,Saitama,,251390,251390
Yamagata,38.2500,140.3333,Japan,JP,Yamagata,admin,247234,247234
Tsukuba-kenkyūgakuen-toshi,36.0333,140.0667,Japan,JP,Ibaraki,,246647,246647
Fuji,35.1614,138.6764,Japan,JP,Shizuoka,,243739,243739
Chigasaki,35.3339,139.4047,Japan,JP,Kanagawa,,242347,242347
Chōfugaoka,35.6506,139.5408,Japan,JP,Tōkyō,,240359,240359
Yato,35.4693,139.4616,Japan,JP,Kanagawa,,239146,239146
Hachimanchō,40.5100,141.5400,Japan,JP,Aomori,,239046,212104
Sato,33.1631,129.7177,Japan,JP,Nagasaki,,237444,211251
Saga,33.2667,130.3000,Japan,JP,Saga,admin,232359,232359
Neya,34.7661,135.6281,Japan,JP,Ōsaka,,227997,227997
Ageoshimo,35.9775,139.5933,Japan,JP,Saitama,,226616,226616
Minamiōzuma,36.2404,137.9700,Japan,JP,Nagano,,224926,210667
Arakawa,35.7333,139.7833,Japan,JP,Tōkyō,,217891,217891
Kure,34.2492,132.5658,Japan,JP,Hiroshima,,212159,212159
Taitō,35.7126,139.7800,Japan,JP,Tōkyō,,210528,210528
Matsue,35.4681,133.0486,Japan,JP,Shimane,admin,201802,201802
Yachiyo,35.7225,140.0997,Japan,JP,Chiba,,200538,200538
Ashino,42.9750,144.3747,Japan,JP,Hokkaidō,,198566,183612
Higashi-Hiroshima,34.4167,132.7333,Japan,JP,Hiroshima,,197347,197347
Naka,37.4504,138.8600,Japan,JP,Niigata,,195318,179802
Suzuka,34.8822,136.5842,Japan,JP,Mie,,195250,195250
Kamirenjaku,35.6833,139.5594,Japan,JP,Tōkyō,,194460,194460
Kumagaya,36.1472,139.3886,Japan,JP,Saitama,,193190,193190
Hino,35.6714,139.3950,Japan,JP,Tōkyō,,190598,190598
Anjōmachi,34.9667,137.0833,Japan,JP,Aichi,,188801,188801
Tottori,35.5011,134.2350,Japan,JP,Tottori,,187323,187323
Jōetsu,37.1500,138.2333,Japan,JP,Niigata,,187291,187291
Kōfu,35.6667,138.5667,Japan,JP,Yamanashi,admin,187144,187144
Izuo,34.4836,135.4236,Japan,JP,Ōsaka,,184299,184299
Tachikawa,35.6939,139.4194,Japan,JP,Tōkyō,,181115,181115
Narashino,35.6808,140.0267,Japan,JP,Chiba,,174990,174990
Ōbiraki,40.5700,140.4700,Japan,JP,Aomori,,174972,168429
Takaoka,42.6504,141.5500,Japan,JP,Hokkaidō,,174806,147905
Beppuchō,42.9304,143.1700,Japan,JP,Hokkaidō,,173890,165338
Hitachi,36.6000,140.6500,Japan,JP,Ibaraki,,172709,172709
Izumo,35.3681,132.7550,Japan,JP,Shimane,,171995,171995
Nishio,34.8667,137.0667,Japan,JP,Aichi,,168992,168992
Takaoka,36.7541,137.0257,Japan,JP,Toyama,,165880,165880
Iwata,34.7178,137.8514,Japan,JP,Shizuoka,,165688,165688
Niiza,35.7933,139.5653,Japan,JP,Saitama,,164653,164653
Ube,33.9517,131.2467,Japan,JP,Yamaguchi,,162873,162873
Matsuzaka,34.5781,136.5275,Japan,JP,Mie,,158472,158472
Ōgaki,35.3594,136.6128,Japan,JP,Gifu,,158386,158386
Hitachi-Naka,36.3964,140.5344,Japan,JP,Ibaraki,,154311,154311
Tochigi,36.3824,139.7341,Japan,JP,Tochigi,,153508,153508
Kariya,34.9893,137.0021,Japan,JP,Aichi,,153178,153178
Ueda,36.4019,138.2491,Japan,JP,Nagano,,152481,152481
Higashimurayama,35.7547,139.4686,Japan,JP,Tōkyō,,150458,150458
Kukichūō,36.0622,139.6669,Japan,JP,Saitama,,150197,150197
Sayama,35.8531,139.4122,Japan,JP,Saitama,,148324,148324
Komaki,35.2833,136.9167,Japan,JP,Aichi,,147897,147897
Tama,35.6333,139.4500,Japan,JP,Tōkyō,,147252,147252
Yonago,35.4281,133.3311,Japan,JP,Tottori,,147210,147210
Iruma,35.8358,139.3911,Japan,JP,Saitama,,145778,145778
Kakamigahara,35.3989,136.8486,Japan,JP,Gifu,,143641,143641
Kusatsu,35.0167,135.9667,Japan,JP,Shiga,,143230,143230
Shimotoda,35.8175,139.6778,Japan,JP,Saitama,,142352,142352
Misato,35.8303,139.8725,Japan,JP,Saitama,,141913,141913
Fukayachō,36.2000,139.2833,Japan,JP,Saitama,,141336,141336
Ishizaki,38.4281,141.3061,Japan,JP,Miyagi,,138856,138856
Kuwana,35.0622,136.6839,Japan,JP,Mie,,138798,138798
Koga,36.1833,139.7000,Japan,JP,Ibaraki,,138237,138237
Kisarazu,35.3761,139.9169,Japan,JP,Chiba,,136118,136118
Yaizu,34.8667,138.3167,Japan,JP,Shizuoka,,136028,136028
Inazawa,35.2500,136.7833,Japan,JP,Aichi,,134938,134938
Ōme,35.7839,139.2431,Japan,JP,Tōkyō,,132436,132436
Zama,35.4886,139.4075,Japan,JP,Kanagawa,,130753,130753
Narita,35.7833,140.3167,Japan,JP,Chiba,,130689,130689
Abiko,35.8642,140.0282,Japan,JP,Chiba,,130290,130290
Onomichi,34.4089,133.2050,Japan,JP,Hiroshima,,130143,130143
Kokubunji,35.7108,139.4622,Japan,JP,Tōkyō,,129619,129619
Seto,35.2167,137.0833,Japan,JP,Aichi,,127327,127327
Ōmiyachō,35.2222,138.6214,Japan,JP,Shizuoka,,127252,127252
Iizuka,33.6458,130.6914,Japan,JP,Fukuoka,,126136,126136
Ise,34.4833,136.7167,Japan,JP,Mie,,122432,122432
Kashiwara,34.5094,135.7925,Japan,JP,Nara,,121604,121604
Tsuruoka,38.7217,139.8217,Japan,JP,Yamagata,,121371,121371
Ebetsu,43.1039,141.5361,Japan,JP,Hokkaidō,,119819,119819
Daitōchō,34.7119,135.6233,Japan,JP,Ōsaka,,118799,118799
Kadoma,34.7333,135.5833,Japan,JP,Ōsaka,,118319,118319
Nobeoka,32.5822,131.6650,Japan,JP,Miyazaki,,117711,117711
Kōnosu,36.0687,139.5168,Japan,JP,Saitama,,116777,116777
Honchō,35.7581,139.5297,Japan,JP,Tōkyō,,116477,116477
Ikoma,34.6919,135.7006,Japan,JP,Nara,,116174,116174
Beppu,33.2847,131.4911,Japan,JP,Ōita,,115992,115992
Nasushiobara,36.9617,140.0461,Japan,JP,Tochigi,,115602,115602
Kōenchō,43.8081,143.8942,Japan,JP,Hokkaidō,,115441,115441
Niihama,33.9603,133.2834,Japan,JP,Ehime,,114971,114971
Sano,36.3144,139.5783,Japan,JP,Tochigi,,114842,114842
Hatsukaichi,34.3486,132.3317,Japan,JP,Hiroshima,,114699,114699
Hikone,35.2744,136.2597,Japan,JP,Shiga,,113191,113191
Hōfu,34.0500,131.5667,Japan,JP,Yamaguchi,,113170,113170
Fujimino,35.8794,139.5197,Japan,JP,Saitama,,112745,112745
Higashiōmi,35.1128,136.2078,Japan,JP,Shiga,,112459,112459
Otaru,43.1833,141.0000,Japan,JP,Hokkaidō,,112452,112452
Ōshū,39.1444,141.1389,Japan,JP,Iwate,,112402,112402
Akishima,35.7056,139.3536,Japan,JP,Tōkyō,,112110,112110
Kasuga,33.5328,130.4703,Japan,JP,Fukuoka,,111144,111144
Shirayamamachi,36.5144,136.5656,Japan,JP,Ishikawa,,110135,110135
Kamagaya,35.7769,140.0008,Japan,JP,Chiba,,109370,109370
Sandachō,34.8894,135.2253,Japan,JP,Hyōgo,,109243,109243
Tondabayashichō,34.4992,135.5972,Japan,JP,Ōsaka,,108735,108735
Habikino,34.5578,135.6061,Japan,JP,Ōsaka,,108373,108373
Mineshita,35.1186,138.9186,Japan,JP,Shizuoka,,107416,107416
Tajimi,35.3328,137.1322,Japan,JP,Gifu,,106746,106746
Ikeda,34.8167,135.4333,Japan,JP,Ōsaka,,104148,104148
Toride,35.9114,140.0503,Japan,JP,Ibaraki,,103908,103908
Saijō,33.9196,133.1812,Japan,JP,Ehime,,103760,103760
Inzai,35.8322,140.1458,Japan,JP,Chiba,,103677,103677
Isehara,35.4028,139.3150,Japan,JP,Kanagawa,,102088,102088
Shibuya,35.6536,139.7092,Japan,JP,Tōkyō,,102056,102056
Sakado,35.9572,139.4031,Japan,JP,Saitama,,100829,100829
Chikusei,36.3072,139.9831,Japan,JP,Ibaraki,,99758,99758
Kani,35.4258,137.0611,Japan,JP,Gifu,,99545,99545
Ginowan,26.2817,127.7783,Japan,JP,Okinawa,,99256,99256
Sakata,38.9144,139.8364,Japan,JP,Yamagata,,99235,99235
Saku,36.2489,138.4769,Japan,JP,Nagano,,98292,98292
Kōnan,35.3333,136.8667,Japan,JP,Aichi,,97435,97435
Iida,35.5147,137.8219,Japan,JP,Nagano,,96642,96642
Kamisu,35.8900,140.6647,Japan,JP,Ibaraki,,95471,95471
Kanuma,36.5672,139.7450,Japan,JP,Tochigi,,94591,94591
Azumino,36.3039,137.9056,Japan,JP,Nagano,,93927,93927
Yashio,35.8228,139.8392,Japan,JP,Saitama,,93283,93283
Yotsukaidō,35.6700,140.1683,Japan,JP,Chiba,,93233,93233
Nisshin,35.1333,137.0333,Japan,JP,Aichi,,92823,92823
Hanamaki Onsen,39.3886,141.1167,Japan,JP,Iwate,,92815,92815
Ōbu,35.0167,136.9667,Japan,JP,Aichi,,92562,92562
Higashi-Matsuyama,36.0422,139.4000,Japan,JP,Saitama,,92440,92440
Kitakami,39.2867,141.1131,Japan,JP,Iwate,,92348,92348
Imizuchō,36.7125,137.0994,Japan,JP,Toyama,,90201,90201
Mihara,34.4581,133.0039,Japan,JP,Hiroshima,,89972,89972
Fukuroi,34.7503,137.9250,Japan,JP,Shizuoka,,86851,86851
Mobara,35.4283,140.2881,Japan,JP,Chiba,,86446,86446
Gotenba,35.3086,138.9350,Japan,JP,Shizuoka,,86334,86334
Kitanagoya,35.2500,136.8667,Japan,JP,Aichi,,86060,86060
Sekimachi,35.4958,136.9178,Japan,JP,Gifu,,85636,85636
Yokotemachi,39.3106,140.5533,Japan,JP,Akita,,84556,84556
